epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.33,0,95.2183,0,0,0,0,0,0,199.232,0,0.000654321,0.000654321,0.000654321
2,794.802,0,65.2665,0,0,0,0,0,0,1919.36,0,0.00119021,0.00119021,0.00119021
3,4115.15,0,48.4438,0,0,0,0,0,0,71.5838,0,0.0015941,0.0015941,0.0015941
4,4483.11,0,33.5087,0,0,0,0,0,0,1455.99,0,0.001406,0.001406,0.001406
5,4840,0,22.718,0,0,0,0,0,0,39.1276,0,0.001208,0.001208,0.001208
6,5198.1,0,15.5097,0,0,0,0,0,0,28.5522,0,0.00101,0.00101,0.00101
7,5553.23,0,10.9814,0,0,0,0,0,0,19.8914,0,0.000812,0.000812,0.000812
8,5911,0,8.22158,0,0,0,0,0,0,16.0052,0,0.000614,0.000614,0.000614
